ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,xd_ids,Glottolog_Name
Cojubim,Cojubim,,-11.75,-64.0,kuyu1236,,,Kuyubi
Jaru,Jaru,,-10.25,-62.0,yaru1257,,,Yaru
Kitemoka,Kitemoka,,-16.0,-62.75,kite1237,,,Kitemoka
More,More,,-12.2994,-64.9841,iten1243,,,Itene
OroWin,OroWin,,-10.737,-64.0299,orow1243,,,Oro Win
Tapakura,Tapakura,,-14.8,-62.2,chap1269,,,Chapakura
Tora,Tora,,-6.19532,-61.7416,tora1263,,,Torá
Urupa,Urupa,,-10.25,-62.75,urup1245,,,Urupa
Wanyam,Wanyam,,-12.1,-63.1,wany1246,,,Wanyam
Wari,Wari,,-10.69948,-64.56152,wari1268,,,Wari'
