ID,Name,Description,Nexus_File,Concepticon_ID,Concepticon_Gloss
1,100_laugh_A,,data.nex,1355,LAUGH
2,100_laugh_B,,data.nex,1355,LAUGH
3,100_laugh_C,,data.nex,1355,LAUGH
4,101_see_A,,data.nex,1409,SEE
5,102_hear_A,,data.nex,1408,HEAR
6,106_fear_A,,data.nex,1419,FEAR (BE AFRAID)
7,107_sleep_A,,data.nex,1585,SLEEP
8,107_sleep_B,,data.nex,1585,SLEEP
9,107_sleep_C,,data.nex,1585,SLEEP
10,109_die_A,,data.nex,1494,DIE
11,110_kill_A,,data.nex,1417,KILL
12,110_kill_B,,data.nex,1417,KILL
13,1112__whowhat_A,,data.nex,2147,WHO OR WHAT
14,1112__whowhat_B,,data.nex,2147,WHO OR WHAT
15,111_fight_A,,data.nex,1423,FIGHT
16,111_fight_B,,data.nex,1423,FIGHT
17,111_fight_C,,data.nex,1423,FIGHT
18,111_fight_D,,data.nex,1423,FIGHT
19,111_fight_E,,data.nex,1423,FIGHT
20,112_SUB_shootwitharrow_A,,data.nex,1172,SHOOT
21,112_SUB_shootwitharrow_B,,data.nex,1172,SHOOT
22,112_SUB_shootwitharrow_C,,data.nex,1172,SHOOT
23,113_hit_A,,data.nex,1433,HIT
24,113_hit_B,,data.nex,1433,HIT
25,114_cut_A,,data.nex,1432,CUT
26,114_cut_B,,data.nex,1432,CUT
27,114_cut_C,,data.nex,1432,CUT
28,118_dig_A,,data.nex,1418,DIG
29,118_dig_B,,data.nex,1418,DIG
30,119_swim_A,,data.nex,1439,SWIM
31,119_swim_B,,data.nex,1439,SWIM
32,119_swim_C,,data.nex,1439,SWIM
33,119_swim_D,,data.nex,1439,SWIM
34,119_swim_E,,data.nex,1439,SWIM
35,120_fly_v_A,,data.nex,1441,FLY (MOVE THROUGH AIR)
36,120_fly_v_B,,data.nex,1441,FLY (MOVE THROUGH AIR)
37,120_fly_v_C,,data.nex,1441,FLY (MOVE THROUGH AIR)
38,121_walk_A,,data.nex,1443,WALK
39,122_come_A,,data.nex,1446,COME
40,122_come_B,,data.nex,1446,COME
41,122_come_C,,data.nex,1446,COME
42,122_come_D,,data.nex,1446,COME
43,123_lie_A,,data.nex,1411,LIE (REST)
44,123_lie_B,,data.nex,1411,LIE (REST)
45,123_lie_C,,data.nex,1411,LIE (REST)
46,123_lie_D,,data.nex,1411,LIE (REST)
47,124_sit_A,,data.nex,1416,SIT
48,125_stand_A,,data.nex,1442,STAND
49,125_stand_B,,data.nex,1442,STAND
50,125_stand_C,,data.nex,1442,STAND
51,127_fall_A,,data.nex,1280,FALL
52,127_fall_B,,data.nex,1280,FALL
53,128_give_A,,data.nex,1447,GIVE
54,132_wash_A,,data.nex,1453,WASH
55,132_wash_B,,data.nex,1453,WASH
56,132_wash_C,,data.nex,1453,WASH
57,134_pull_A,,data.nex,1455,PULL
58,135_push_A,,data.nex,1452,PUSH
59,135_push_B,,data.nex,1452,PUSH
60,136_throw_A,,data.nex,1456,THROW
61,136_throw_B,,data.nex,1456,THROW
62,137_tie_A,,data.nex,1917,TIE
63,137_tie_B,,data.nex,1917,TIE
64,140_say_A,,data.nex,1458,SAY
65,140_say_B,,data.nex,1458,SAY
66,140_say_C,,data.nex,1458,SAY
67,140_say_D,,data.nex,1458,SAY
68,140_say_E,,data.nex,1458,SAY
69,141_sing_A,,data.nex,1261,SING
70,141_sing_B,,data.nex,1261,SING
71,141_sing_C,,data.nex,1261,SING
72,141_sing_D,,data.nex,1261,SING
73,147_sun_A,,data.nex,1343,SUN
74,147_sun_B,,data.nex,1343,SUN
75,147_sun_C,,data.nex,1343,SUN
76,147_sun_D,,data.nex,1343,SUN
77,148_moon_A,,data.nex,1313,MOON
78,149_star_A,,data.nex,1430,STAR
79,149_star_B,,data.nex,1430,STAR
80,150_water_A,,data.nex,948,WATER
81,151_rain_A,,data.nex,2108,RAINING OR RAIN
82,156_stone_A,,data.nex,857,STONE
83,157_sand_A,,data.nex,671,SAND
84,157_sand_B,,data.nex,671,SAND
85,159_earth_A,,data.nex,1228,EARTH (SOIL)
86,159_earth_B,,data.nex,1228,EARTH (SOIL)
87,162_sky_A,,data.nex,1732,SKY
88,163_wind_A,,data.nex,960,WIND
89,163_wind_B,,data.nex,960,WIND
90,163_wind_C,,data.nex,960,WIND
91,163_wind_D,,data.nex,960,WIND
92,166_smoke_A,,data.nex,778,SMOKE (EXHAUST)
93,166_smoke_B,,data.nex,778,SMOKE (EXHAUST)
94,166_smoke_C,,data.nex,778,SMOKE (EXHAUST)
95,167_fire_A,,data.nex,221,FIRE
96,168_ashes_A,,data.nex,646,ASH
97,170_roadpath_A,,data.nex,667,ROAD
98,172_red_A,,data.nex,156,RED
99,172_red_B,,data.nex,156,RED
100,172_red_C,,data.nex,156,RED
101,172_red_D,,data.nex,156,RED
102,174_yellow_A,,data.nex,1424,YELLOW
103,174_yellow_B,,data.nex,1424,YELLOW
104,174_yellow_C,,data.nex,1424,YELLOW
105,175_white_A,,data.nex,1335,WHITE
106,175_white_B,,data.nex,1335,WHITE
107,176_black_A,,data.nex,163,BLACK
108,176_black_B,,data.nex,163,BLACK
109,176_black_C,,data.nex,163,BLACK
110,176_black_D,,data.nex,163,BLACK
111,176_black_E,,data.nex,163,BLACK
112,177_night_A,,data.nex,1233,NIGHT
113,178_day_A,,data.nex,1225,DAY (NOT NIGHT)
114,178_day_B,,data.nex,1225,DAY (NOT NIGHT)
115,178_day_C,,data.nex,1225,DAY (NOT NIGHT)
116,179_SUB_summer_A,,data.nex,1342,SUMMER
117,181_cold_A,,data.nex,1287,COLD
118,181_cold_B,,data.nex,1287,COLD
119,183_new_A,,data.nex,1231,NEW
120,183_new_B,,data.nex,1231,NEW
121,184_old_A,,data.nex,1229,OLD
122,184_old_B,,data.nex,1229,OLD
123,184_old_C,,data.nex,1229,OLD
124,184_old_D,,data.nex,1229,OLD
125,185_good_A,,data.nex,1035,GOOD
126,185_good_B,,data.nex,1035,GOOD
127,185_good_C,,data.nex,1035,GOOD
128,185_good_D,,data.nex,1035,GOOD
129,185_good_E,,data.nex,1035,GOOD
130,18_many_A,,data.nex,1198,MANY
131,18_many_B,,data.nex,1198,MANY
132,18_many_C,,data.nex,1198,MANY
133,18_many_D,,data.nex,1198,MANY
134,18_many_E,,data.nex,1198,MANY
135,1_I_A,,data.nex,1209,I
136,207_name_A,,data.nex,1405,NAME
137,20_few_A,,data.nex,1242,FEW
138,20_few_B,,data.nex,1242,FEW
139,20_few_C,,data.nex,1242,FEW
140,20_few_D,,data.nex,1242,FEW
141,20_few_E,,data.nex,1242,FEW
142,22_one_A,,data.nex,1493,ONE
143,22_one_B,,data.nex,1493,ONE
144,22_one_C,,data.nex,1493,ONE
145,23_two_A,,data.nex,1498,TWO
146,23_two_B,,data.nex,1498,TWO
147,23_two_C,,data.nex,1498,TWO
148,27_big_A,,data.nex,1202,BIG
149,27_big_B,,data.nex,1202,BIG
150,27_big_C,,data.nex,1202,BIG
151,27_big_D,,data.nex,1202,BIG
152,27_big_E,,data.nex,1202,BIG
153,27_big_F,,data.nex,1202,BIG
154,27_big_G,,data.nex,1202,BIG
155,2_yousingthou_A,,data.nex,1215,THOU
156,32_small_A,,data.nex,1246,SMALL
157,32_small_B,,data.nex,1246,SMALL
158,32_small_C,,data.nex,1246,SMALL
159,32_small_D,,data.nex,1246,SMALL
160,32_small_E,,data.nex,1246,SMALL
161,36_woman_A,,data.nex,962,WOMAN
162,36_woman_B,,data.nex,962,WOMAN
163,36_woman_C,,data.nex,962,WOMAN
164,37_man_adultmale_A,,data.nex,1554,MAN
165,37_man_adultmale_B,,data.nex,1554,MAN
166,38_man_humanbeing_A,,data.nex,683,PERSON
167,39_kid_A,,data.nex,2099,CHILD
168,39_kid_B,,data.nex,2099,CHILD
169,39_kid_C,,data.nex,2099,CHILD
170,39_kid_D,,data.nex,2099,CHILD
171,39_kid_E,,data.nex,2099,CHILD
172,3_he_A,,data.nex,1211,HE
173,42_mother_A,,data.nex,1216,MOTHER
174,42_mother_B,,data.nex,1216,MOTHER
175,43_father_A,,data.nex,1217,FATHER
176,44_animal_A,,data.nex,619,ANIMAL
177,44_animal_B,,data.nex,619,ANIMAL
178,45_fish_A,,data.nex,227,FISH
179,46_bird_A,,data.nex,937,BIRD
180,47_SUB_Peccary_collaredPtajacu_A,,data.nex,2390,PECCARY
181,47_SUB_Peccary_collaredPtajacu_B,,data.nex,2390,PECCARY
182,47_SUB_Peccary_collaredPtajacu_C,,data.nex,2390,PECCARY
183,48_louse_A,,data.nex,1392,LOUSE
184,49_snake_A,,data.nex,730,SNAKE
185,49_snake_B,,data.nex,730,SNAKE
186,4_we_A,,data.nex,1212,WE
187,50_worm_A,,data.nex,1219,WORM
188,50_worm_B,,data.nex,1219,WORM
189,50_worm_C,,data.nex,1219,WORM
190,52_forest_A,,data.nex,420,FOREST
191,52_forest_B,,data.nex,420,FOREST
192,52_forest_C,,data.nex,420,FOREST
193,53_stick_A,,data.nex,1295,STICK
194,54_fruit_A,,data.nex,1507,FRUIT
195,54_fruit_B,,data.nex,1507,FRUIT
196,54_fruit_C,,data.nex,1507,FRUIT
197,54_fruit_D,,data.nex,1507,FRUIT
198,56_leaf_A,,data.nex,628,LEAF
199,56_leaf_B,,data.nex,628,LEAF
200,56_leaf_C,,data.nex,628,LEAF
201,56_leaf_D,,data.nex,628,LEAF
202,57_root_A,,data.nex,670,ROOT
203,59_flower_A,,data.nex,239,FLOWER
204,59_flower_B,,data.nex,239,FLOWER
205,5_youpl_A,,data.nex,1213,YOU
206,60_grass_A,,data.nex,606,GRASS
207,60_grass_B,,data.nex,606,GRASS
208,60_grass_C,,data.nex,606,GRASS
209,60_grass_D,,data.nex,606,GRASS
210,60_grass_E,,data.nex,606,GRASS
211,61_rope_A,,data.nex,1218,ROPE
212,61_rope_B,,data.nex,1218,ROPE
213,62_skin_A,,data.nex,763,SKIN
214,63_meat_A,,data.nex,634,MEAT
215,64_blood_A,,data.nex,946,BLOOD
216,65_bone_A,,data.nex,1394,BONE
217,66_fat_n_A,,data.nex,323,FAT (ORGANIC SUBSTANCE)
218,66_fat_n_B,,data.nex,323,FAT (ORGANIC SUBSTANCE)
219,67_egg_A,,data.nex,744,EGG
220,68_horn_A,,data.nex,939,HORN (INSTRUMENT)
221,68_horn_B,,data.nex,939,HORN (INSTRUMENT)
222,68_horn_C,,data.nex,939,HORN (INSTRUMENT)
223,68_horn_D,,data.nex,939,HORN (INSTRUMENT)
224,69_tail_A,,data.nex,1220,TAIL
225,69_tail_B,,data.nex,1220,TAIL
226,6_they_3plm_A,,data.nex,817,THEY
227,6_they_3plm_B,,data.nex,817,THEY
228,6_they_3plm_C,,data.nex,817,THEY
229,71_hair_A,,data.nex,1040,HAIR
230,71_hair_B,,data.nex,1040,HAIR
231,71_hair_C,,data.nex,1040,HAIR
232,72_head_A,,data.nex,1256,HEAD
233,72_head_B,,data.nex,1256,HEAD
234,72_head_C,,data.nex,1256,HEAD
235,73_ear_A,,data.nex,1247,EAR
236,73_ear_B,,data.nex,1247,EAR
237,74_eye_A,,data.nex,1248,EYE
238,75_nose_A,,data.nex,1221,NOSE
239,76_mouth_A,,data.nex,674,MOUTH
240,76_mouth_B,,data.nex,674,MOUTH
241,76_mouth_C,,data.nex,674,MOUTH
242,77_tooth_A,,data.nex,1380,TOOTH
243,78_tongue_A,,data.nex,1205,TONGUE
244,78_tongue_B,,data.nex,1205,TONGUE
245,79_fingernail_A,,data.nex,1258,FINGERNAIL
246,79_fingernail_B,,data.nex,1258,FINGERNAIL
247,79_fingernail_C,,data.nex,1258,FINGERNAIL
248,80_foot_A,,data.nex,1301,FOOT
249,80_foot_B,,data.nex,1301,FOOT
250,80_foot_C,,data.nex,1301,FOOT
251,81_leg_A,,data.nex,1297,LEG
252,82_knee_A,,data.nex,1371,KNEE
253,82_knee_B,,data.nex,1371,KNEE
254,82_knee_C,,data.nex,1371,KNEE
255,83_handarm_A,,data.nex,1277,HAND
256,83_handarm_B,,data.nex,1277,HAND
257,84_wing_A,,data.nex,1257,WING
258,85_belly_A,,data.nex,1251,BELLY
259,85_belly_B,,data.nex,1251,BELLY
260,85_belly_C,,data.nex,1251,BELLY
261,85_belly_D,,data.nex,1251,BELLY
262,86_guts_A,,data.nex,1334,GUTS
263,86_guts_B,,data.nex,1334,GUTS
264,86_guts_C,,data.nex,1334,GUTS
265,87_neck_A,,data.nex,1333,NECK
266,87_neck_B,,data.nex,1333,NECK
267,88_back_A,,data.nex,1291,BACK
268,89_breast_A,,data.nex,1402,BREAST
269,89_breast_B,,data.nex,1402,BREAST
270,90_heart_A,,data.nex,1223,HEART
271,91_liver_A,,data.nex,1224,LIVER
272,92_drink_A,,data.nex,1401,DRINK
273,93_eat_A,,data.nex,1336,EAT
274,94_bite_A,,data.nex,1403,BITE
275,94_bite_B,,data.nex,1403,BITE
276,95_suck_A,,data.nex,1421,SUCK
277,97_vomit_A,,data.nex,1278,VOMIT
278,99_breathe_A,,data.nex,1407,BREATHE
279,99_breathe_B,,data.nex,1407,BREATHE
280,X1_afternoon_A,,data.nex,1807,AFTERNOON
281,X2_deer_BrocketMamericana_A,,data.nex,1936,DEER
282,X2_deer_BrocketMamericana_B,,data.nex,1936,DEER
283,X2_deer_BrocketMamericana_C,,data.nex,1936,DEER
284,X2_deer_BrocketMamericana_D,,data.nex,1936,DEER
285,X2_deer_BrocketMamericana_E,,data.nex,1936,DEER
