ID,Name,Nexus_File,rooted,type,method,scaling,Source
summary,TREE1,summary.trees,true,summary,bayesian,years,Birchall_et_al2016
posterior-1,STATE_14680000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-2,STATE_16108000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-3,STATE_17998000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-4,STATE_16972000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-5,STATE_15899000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-6,STATE_17935000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-7,STATE_18835000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-8,STATE_10986000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-9,STATE_13766000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-10,STATE_14952000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-11,STATE_16839000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-12,STATE_10328000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-13,STATE_15469000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-14,STATE_19088000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-15,STATE_14656000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-16,STATE_12510000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-17,STATE_15612000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-18,STATE_15662000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-19,STATE_16948000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-20,STATE_15396000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-21,STATE_14315000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-22,STATE_16381000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-23,STATE_10960000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-24,STATE_14728000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-25,STATE_15532000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-26,STATE_12169000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-27,STATE_19509000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-28,STATE_11882000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-29,STATE_19329000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-30,STATE_18583000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-31,STATE_18901000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-32,STATE_15220000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-33,STATE_19091000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-34,STATE_16124000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-35,STATE_12146000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-36,STATE_14583000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-37,STATE_16850000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-38,STATE_19963000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-39,STATE_13818000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-40,STATE_16551000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-41,STATE_18900000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-42,STATE_19363000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-43,STATE_15973000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-44,STATE_16912000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-45,STATE_10072000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-46,STATE_17990000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-47,STATE_10402000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-48,STATE_12364000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-49,STATE_15737000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-50,STATE_16433000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
posterior-51,STATE_14535000,posterior.trees,true,sample,bayesian,years,Birchall_et_al2016
