Site,Label,Concepticon_ID,Concepticon_Gloss
1,100_laugh_A,1355,LAUGH
2,100_laugh_B,1355,LAUGH
3,100_laugh_C,1355,LAUGH
4,101_see_A,1409,SEE
5,102_hear_A,1408,HEAR
6,106_fear_A,1419,FEAR (BE AFRAID)
7,107_sleep_A,1585,SLEEP
8,107_sleep_B,1585,SLEEP
9,107_sleep_C,1585,SLEEP
10,109_die_A,1494,DIE
11,110_kill_A,1417,KILL
12,110_kill_B,1417,KILL
13,1112__whowhat_A,2147,WHO OR WHAT
14,1112__whowhat_B,2147,WHO OR WHAT
15,111_fight_A,1423,FIGHT
16,111_fight_B,1423,FIGHT
17,111_fight_C,1423,FIGHT
18,111_fight_D,1423,FIGHT
19,111_fight_E,1423,FIGHT
20,112_SUB_shootwitharrow_A,1172,SHOOT
21,112_SUB_shootwitharrow_B,1172,SHOOT
22,112_SUB_shootwitharrow_C,1172,SHOOT
23,113_hit_A,1433,HIT
24,113_hit_B,1433,HIT
25,114_cut_A,1432,CUT
26,114_cut_B,1432,CUT
27,114_cut_C,1432,CUT
28,118_dig_A,1418,DIG
29,118_dig_B,1418,DIG
30,119_swim_A,1439,SWIM
31,119_swim_B,1439,SWIM
32,119_swim_C,1439,SWIM
33,119_swim_D,1439,SWIM
34,119_swim_E,1439,SWIM
35,120_fly_v_A,1441,FLY (MOVE THROUGH AIR)
36,120_fly_v_B,1441,FLY (MOVE THROUGH AIR)
37,120_fly_v_C,1441,FLY (MOVE THROUGH AIR)
38,121_walk_A,1443,WALK
39,122_come_A,1446,COME
40,122_come_B,1446,COME
41,122_come_C,1446,COME
42,122_come_D,1446,COME
43,123_lie_A,1411,LIE (REST)
44,123_lie_B,1411,LIE (REST)
45,123_lie_C,1411,LIE (REST)
46,123_lie_D,1411,LIE (REST)
47,124_sit_A,1416,SIT
48,125_stand_A,1442,STAND
49,125_stand_B,1442,STAND
50,125_stand_C,1442,STAND
51,127_fall_A,1280,FALL
52,127_fall_B,1280,FALL
53,128_give_A,1447,GIVE
54,132_wash_A,1453,WASH
55,132_wash_B,1453,WASH
56,132_wash_C,1453,WASH
57,134_pull_A,1455,PULL
58,135_push_A,1452,PUSH
59,135_push_B,1452,PUSH
60,136_throw_A,1456,THROW
61,136_throw_B,1456,THROW
62,137_tie_A,1917,TIE
63,137_tie_B,1917,TIE
64,140_say_A,1458,SAY
65,140_say_B,1458,SAY
66,140_say_C,1458,SAY
67,140_say_D,1458,SAY
68,140_say_E,1458,SAY
69,141_sing_A,1261,SING
70,141_sing_B,1261,SING
71,141_sing_C,1261,SING
72,141_sing_D,1261,SING
73,147_sun_A,1343,SUN
74,147_sun_B,1343,SUN
75,147_sun_C,1343,SUN
76,147_sun_D,1343,SUN
77,148_moon_A,1313,MOON
78,149_star_A,1430,STAR
79,149_star_B,1430,STAR
80,150_water_A,948,WATER
81,151_rain_A,2108,RAINING OR RAIN
82,156_stone_A,857,STONE
83,157_sand_A,671,SAND
84,157_sand_B,671,SAND
85,159_earth_A,1228,EARTH (SOIL)
86,159_earth_B,1228,EARTH (SOIL)
87,162_sky_A,1732,SKY
88,163_wind_A,960,WIND
89,163_wind_B,960,WIND
90,163_wind_C,960,WIND
91,163_wind_D,960,WIND
92,166_smoke_A,778,SMOKE (EXHAUST)
93,166_smoke_B,778,SMOKE (EXHAUST)
94,166_smoke_C,778,SMOKE (EXHAUST)
95,167_fire_A,221,FIRE
96,168_ashes_A,646,ASH
97,170_roadpath_A,667,ROAD
98,172_red_A,156,RED
99,172_red_B,156,RED
100,172_red_C,156,RED
101,172_red_D,156,RED
102,174_yellow_A,1424,YELLOW
103,174_yellow_B,1424,YELLOW
104,174_yellow_C,1424,YELLOW
105,175_white_A,1335,WHITE
106,175_white_B,1335,WHITE
107,176_black_A,163,BLACK
108,176_black_B,163,BLACK
109,176_black_C,163,BLACK
110,176_black_D,163,BLACK
111,176_black_E,163,BLACK
112,177_night_A,1233,NIGHT
113,178_day_A,1225,DAY (NOT NIGHT)
114,178_day_B,1225,DAY (NOT NIGHT)
115,178_day_C,1225,DAY (NOT NIGHT)
116,179_SUB_summer_A,1342,SUMMER
117,181_cold_A,1287,COLD
118,181_cold_B,1287,COLD
119,183_new_A,1231,NEW
120,183_new_B,1231,NEW
121,184_old_A,1229,OLD
122,184_old_B,1229,OLD
123,184_old_C,1229,OLD
124,184_old_D,1229,OLD
125,185_good_A,1035,GOOD
126,185_good_B,1035,GOOD
127,185_good_C,1035,GOOD
128,185_good_D,1035,GOOD
129,185_good_E,1035,GOOD
130,18_many_A,1198,MANY
131,18_many_B,1198,MANY
132,18_many_C,1198,MANY
133,18_many_D,1198,MANY
134,18_many_E,1198,MANY
135,1_I_A,1209,I
136,207_name_A,1405,NAME
137,20_few_A,1242,FEW
138,20_few_B,1242,FEW
139,20_few_C,1242,FEW
140,20_few_D,1242,FEW
141,20_few_E,1242,FEW
142,22_one_A,1493,ONE
143,22_one_B,1493,ONE
144,22_one_C,1493,ONE
145,23_two_A,1498,TWO
146,23_two_B,1498,TWO
147,23_two_C,1498,TWO
148,27_big_A,1202,BIG
149,27_big_B,1202,BIG
150,27_big_C,1202,BIG
151,27_big_D,1202,BIG
152,27_big_E,1202,BIG
153,27_big_F,1202,BIG
154,27_big_G,1202,BIG
155,2_yousingthou_A,1215,THOU
156,32_small_A,1246,SMALL
157,32_small_B,1246,SMALL
158,32_small_C,1246,SMALL
159,32_small_D,1246,SMALL
160,32_small_E,1246,SMALL
161,36_woman_A,962,WOMAN
162,36_woman_B,962,WOMAN
163,36_woman_C,962,WOMAN
164,37_man_adultmale_A,1554,MAN
165,37_man_adultmale_B,1554,MAN
166,38_man_humanbeing_A,683,PERSON
167,39_kid_A,2099,CHILD
168,39_kid_B,2099,CHILD
169,39_kid_C,2099,CHILD
170,39_kid_D,2099,CHILD
171,39_kid_E,2099,CHILD
172,3_he_A,1211,HE
173,42_mother_A,1216,MOTHER
174,42_mother_B,1216,MOTHER
175,43_father_A,1217,FATHER
176,44_animal_A,619,ANIMAL
177,44_animal_B,619,ANIMAL
178,45_fish_A,227,FISH
179,46_bird_A,937,BIRD
180,47_SUB_Peccary_collaredPtajacu_A,2390,PECCARY
181,47_SUB_Peccary_collaredPtajacu_B,2390,PECCARY
182,47_SUB_Peccary_collaredPtajacu_C,2390,PECCARY
183,48_louse_A,1392,LOUSE
184,49_snake_A,730,SNAKE
185,49_snake_B,730,SNAKE
186,4_we_A,1212,WE
187,50_worm_A,1219,WORM
188,50_worm_B,1219,WORM
189,50_worm_C,1219,WORM
190,52_forest_A,420,FOREST
191,52_forest_B,420,FOREST
192,52_forest_C,420,FOREST
193,53_stick_A,1295,STICK
194,54_fruit_A,1507,FRUIT
195,54_fruit_B,1507,FRUIT
196,54_fruit_C,1507,FRUIT
197,54_fruit_D,1507,FRUIT
198,56_leaf_A,628,LEAF
199,56_leaf_B,628,LEAF
200,56_leaf_C,628,LEAF
201,56_leaf_D,628,LEAF
202,57_root_A,670,ROOT
203,59_flower_A,239,FLOWER
204,59_flower_B,239,FLOWER
205,5_youpl_A,1213,YOU
206,60_grass_A,606,GRASS
207,60_grass_B,606,GRASS
208,60_grass_C,606,GRASS
209,60_grass_D,606,GRASS
210,60_grass_E,606,GRASS
211,61_rope_A,1218,ROPE
212,61_rope_B,1218,ROPE
213,62_skin_A,763,SKIN
214,63_meat_A,634,MEAT
215,64_blood_A,946,BLOOD
216,65_bone_A,1394,BONE
217,66_fat_n_A,323,FAT (ORGANIC SUBSTANCE)
218,66_fat_n_B,323,FAT (ORGANIC SUBSTANCE)
219,67_egg_A,744,EGG
220,68_horn_A,939,HORN (INSTRUMENT)
221,68_horn_B,939,HORN (INSTRUMENT)
222,68_horn_C,939,HORN (INSTRUMENT)
223,68_horn_D,939,HORN (INSTRUMENT)
224,69_tail_A,1220,TAIL
225,69_tail_B,1220,TAIL
226,6_they_3plm_A,817,THEY
227,6_they_3plm_B,817,THEY
228,6_they_3plm_C,817,THEY
229,71_hair_A,1040,HAIR
230,71_hair_B,1040,HAIR
231,71_hair_C,1040,HAIR
232,72_head_A,1256,HEAD
233,72_head_B,1256,HEAD
234,72_head_C,1256,HEAD
235,73_ear_A,1247,EAR
236,73_ear_B,1247,EAR
237,74_eye_A,1248,EYE
238,75_nose_A,1221,NOSE
239,76_mouth_A,674,MOUTH
240,76_mouth_B,674,MOUTH
241,76_mouth_C,674,MOUTH
242,77_tooth_A,1380,TOOTH
243,78_tongue_A,1205,TONGUE
244,78_tongue_B,1205,TONGUE
245,79_fingernail_A,1258,FINGERNAIL
246,79_fingernail_B,1258,FINGERNAIL
247,79_fingernail_C,1258,FINGERNAIL
248,80_foot_A,1301,FOOT
249,80_foot_B,1301,FOOT
250,80_foot_C,1301,FOOT
251,81_leg_A,1297,LEG
252,82_knee_A,1371,KNEE
253,82_knee_B,1371,KNEE
254,82_knee_C,1371,KNEE
255,83_handarm_A,1277,HAND
256,83_handarm_B,1277,HAND
257,84_wing_A,1257,WING
258,85_belly_A,1251,BELLY
259,85_belly_B,1251,BELLY
260,85_belly_C,1251,BELLY
261,85_belly_D,1251,BELLY
262,86_guts_A,1334,GUTS
263,86_guts_B,1334,GUTS
264,86_guts_C,1334,GUTS
265,87_neck_A,1333,NECK
266,87_neck_B,1333,NECK
267,88_back_A,1291,BACK
268,89_breast_A,1402,BREAST
269,89_breast_B,1402,BREAST
270,90_heart_A,1223,HEART
271,91_liver_A,1224,LIVER
272,92_drink_A,1401,DRINK
273,93_eat_A,1336,EAT
274,94_bite_A,1403,BITE
275,94_bite_B,1403,BITE
276,95_suck_A,1421,SUCK
277,97_vomit_A,1278,VOMIT
278,99_breathe_A,1407,BREATHE
279,99_breathe_B,1407,BREATHE
280,X1_afternoon_A,1807,AFTERNOON
281,X2_deer_BrocketMamericana_A,1936,DEER
282,X2_deer_BrocketMamericana_B,1936,DEER
283,X2_deer_BrocketMamericana_C,1936,DEER
284,X2_deer_BrocketMamericana_D,1936,DEER
285,X2_deer_BrocketMamericana_E,1936,DEER
