item                    mean     stderr   stddev   median   95%HPDlo 95%HPDup ACT      ESS      geometric-mean 
posterior               -1342.27 0.073587 5.374442 -1342.08 -1352.58 -1331.88 3374.670 5334.151 NaN     
prior                   -141.139 0.057646 4.282083 -140.966 -149.683 -133.043 3262.351 5517.798 NaN     
likelihood              -1201.13 0.028552 3.101671 -1200.78 -1207.19 -1195.53 1525.336 11801.33 NaN     
treeModel.rootHeight    1039.254 4.150456 300.4158 998.4147 525.3582 1619.040 3435.916 5239.067 999.4366
tmrca(MoreCojubim)      265.6921 0.365921 40.76780 258.0153 201.5831 344.6422 1450.230 12412.50 262.8460
tmrca(TapakuraKitemoka) 470.0614 1.175185 99.01661 455.6140 300.2644 665.7014 2535.669 7099.111 460.3220
tmrca(ToraClade)        501.2326 1.041873 99.19897 487.6852 332.1934 704.5735 1985.692 9065.351 491.9907
skyline.popSize1        3451.171 19.88305 2044.476 2897.074 619.5746 7948.716 1702.545 10572.99 2913.816
skyline.popSize2        1381.336 11.91116 1251.584 1026.843 5.699293 3777.747 1630.363 11041.09 981.6904
skyline.popSize3        567.0584 5.190405 537.4478 419.7165 0.20413  1490.985 1678.906 10721.85 405.3184
skyline.groupSize1      2.868841 0.015839 1.529942 3        1        6        1929.215 9330.734 2.434958
skyline.groupSize2      2.89195  0.01315  1.574208 3        1        6        1256.122 14330.60 2.45465 
skyline.groupSize3      3.239209 0.015528 1.59794  3        1        6        1699.891 10589.49 2.788269
ucld.mean               0.000444 3.81E-6  0.000164 0.000409 0.00021  0.00076  9709.635 1853.931 0.000421
ucld.stdev              0.412907 0.004744 0.203231 0.393638 0.011113 0.787291 9809.079 1835.136 0.349838
meanRate                0.00039  1.66E-6  9.88E-5  0.000377 0.000215 0.000588 5052.121 3563.057 0.000378
coefficientOfVariation  0.390847 0.003983 0.192496 0.37437  0.009962 0.740302 7707.830 2335.417 0.331264
covariance              -0.07557 0.001835 0.227919 -0.08619 -0.50434 0.381603 1167.437 15419.24 NaN     
treeLikelihood          -1201.13 0.028552 3.101671 -1200.78 -1207.19 -1195.53 1525.336 11801.33 NaN     
skyline                 -71.3865 0.043291 2.97144  -71.4041 -77.0515 -65.4616 3820.914 4711.175 NaN     
